,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
259235,400013,0,Cash loans,F,Y,Y,1,58500.0,203760.0,13396.5,180000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.008575,-12017,-3809,-3409.0,-298,16.0,1,1,1,1,0,0,Sales staff,3.0,2,2,TUESDAY,14,0,0,0,0,0,0,Business Entity Type 3,0.2673848131644514,0.1310990571119717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-588.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
259236,400016,0,Cash loans,F,Y,Y,0,360000.0,916470.0,26928.0,765000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.072508,-15274,-727,-2432.0,-4054,2.0,1,1,0,1,0,0,Private service staff,2.0,1,1,FRIDAY,18,0,0,0,0,0,0,Services,,0.7265531139807863,,0.2765,0.0751,0.9881,0.8368,,0.32,0.1379,0.6667,0.7083,0.0655,,0.2967,,0.0144,0.1418,0.0,0.9881,0.8432,,0.4028,0.1724,0.6667,0.7083,0.0,,0.1526,,0.0,0.3118,0.0771,0.9881,0.8390000000000001,,0.36,0.1552,0.6667,0.7083,0.0299,,0.3354,,0.0037,reg oper account,block of flats,0.2372,Panel,No,0.0,0.0,0.0,0.0,-824.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
259237,400018,0,Cash loans,F,Y,Y,0,202500.0,1321902.0,38781.0,1035000.0,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.035792,-15301,-1936,-8996.0,-5036,9.0,1,1,0,1,0,0,Laborers,2.0,2,2,FRIDAY,14,0,0,0,0,0,0,Industry: type 9,0.6474384277520331,0.6913924164232091,0.7713615919194317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-1270.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
259238,400019,0,Revolving loans,M,Y,N,0,352350.0,900000.0,45000.0,900000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.072508,-19068,-5174,-5288.0,-2618,1.0,1,1,0,1,1,0,Laborers,2.0,1,1,FRIDAY,11,0,0,0,0,0,0,Business Entity Type 3,,0.6936646950223649,,0.1124,0.0446,0.9831,,,0.08,0.0345,0.625,,,,0.064,,0.1414,0.1145,0.0463,0.9831,,,0.0806,0.0345,0.625,,,,0.0667,,0.1497,0.1135,0.0446,0.9831,,,0.08,0.0345,0.625,,,,0.0652,,0.1444,,,0.0811,Panel,No,0.0,0.0,0.0,0.0,-600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
259239,400020,0,Cash loans,M,N,N,0,112500.0,58500.0,2857.5,58500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,Municipal apartment,0.028663,-21479,-664,-4970.0,-4723,,1,1,0,1,0,0,Security staff,2.0,2,2,WEDNESDAY,13,0,0,0,0,0,0,Business Entity Type 3,,0.1814622188518128,0.2851799046358216,0.0598,,0.9697,,,0.0,0.1552,0.1042,,,,,,0.0,0.0168,,0.9633,,,0.0,0.1379,0.0417,,,,,,0.0,0.0604,,0.9697,,,0.0,0.1552,0.1042,,,,,,0.0,,,0.0727,,No,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
259240,400021,1,Cash loans,F,N,Y,2,180000.0,1096020.0,56092.5,900000.0,Unaccompanied,Commercial associate,Higher education,Married,With parents,0.035792,-13337,-3752,-682.0,-1523,,1,1,0,1,0,1,,4.0,2,2,SATURDAY,16,0,0,0,0,0,0,Self-employed,0.7425522538552595,0.5926807079183327,0.4866531565147181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,-1518.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,3.0
259241,400022,0,Cash loans,F,N,N,0,90000.0,942300.0,30528.0,675000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Widow,House / apartment,0.00496,-17211,-2972,-708.0,-749,,1,1,0,1,0,0,,1.0,2,2,TUESDAY,9,0,0,0,0,1,1,Self-employed,,0.5934037377496707,0.7091891096653581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-733.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
259242,400023,0,Cash loans,F,N,Y,0,180000.0,522814.5,56434.5,481500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.010006,-20783,365243,-10255.0,-4192,,1,0,0,1,0,0,,2.0,2,2,WEDNESDAY,9,0,0,0,0,0,0,XNA,,0.5251284151246192,,0.1979,0.136,0.9856,0.8028,,0.24,0.2069,0.3333,0.375,0.0918,0.1589,0.1345,0.0116,0.0967,0.2017,0.1411,0.9856,0.8105,,0.2417,0.2069,0.3333,0.375,0.0939,0.1736,0.1401,0.0117,0.1023,0.1999,0.136,0.9856,0.8054,,0.24,0.2069,0.3333,0.375,0.0934,0.1616,0.1369,0.0116,0.0987,reg oper account,block of flats,0.1594,Block,No,1.0,1.0,1.0,1.0,-365.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,1.0,5.0
259243,400024,0,Cash loans,F,N,N,1,180000.0,862560.0,25218.0,720000.0,Unaccompanied,State servant,Secondary / secondary special,Civil marriage,House / apartment,0.032561,-9358,-977,-2208.0,-1748,,1,1,1,1,0,0,Core staff,3.0,1,1,SUNDAY,14,0,0,0,0,0,0,Kindergarten,,0.7076830416407058,0.3927738606031339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-1730.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
259244,400025,0,Cash loans,M,Y,Y,0,225000.0,254700.0,25321.5,225000.0,Family,Pensioner,Higher education,Married,House / apartment,0.010556,-23141,365243,-7289.0,-3331,7.0,1,0,0,1,0,0,,2.0,3,3,THURSDAY,12,0,0,0,0,0,0,XNA,,0.3428255069571252,0.7557400501752248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-148.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0
259245,400026,0,Cash loans,F,N,Y,0,90000.0,269550.0,11547.0,225000.0,Family,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.010006,-23596,365243,-13781.0,-4037,,1,0,0,1,0,0,,1.0,2,1,WEDNESDAY,7,0,0,0,0,0,0,XNA,0.6888000556272188,0.7790065558799122,0.6785676886853644,0.0825,0.0689,0.9781,0.7008,0.0113,0.0,0.1379,0.1667,0.2083,0.1225,0.0672,0.0686,0.0,0.0,0.084,0.0715,0.9782,0.7125,0.0114,0.0,0.1379,0.1667,0.2083,0.1252,0.0735,0.0715,0.0,0.0,0.0833,0.0689,0.9781,0.7048,0.0114,0.0,0.1379,0.1667,0.2083,0.1246,0.0684,0.0698,0.0,0.0,reg oper account,block of flats,0.0587,Panel,No,3.0,0.0,3.0,0.0,-1027.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
259246,400027,0,Cash loans,F,N,N,0,157500.0,1178217.0,34578.0,922500.0,Unaccompanied,State servant,Secondary / secondary special,Civil marriage,House / apartment,0.007305,-11588,-2908,-5017.0,-3010,,1,1,0,1,0,0,Core staff,2.0,3,3,MONDAY,12,0,0,0,0,0,0,Kindergarten,0.4444578755775757,0.1704749244258174,,0.2959,0.1979,0.9846,0.7892,0.0629,0.32,0.2759,0.3333,0.375,0.3293,0.2412,0.3296,0.0,0.0,0.3015,0.2053,0.9846,0.7975,0.0635,0.3222,0.2759,0.3333,0.375,0.3369,0.2635,0.3434,0.0,0.0,0.2987,0.1979,0.9846,0.792,0.0633,0.32,0.2759,0.3333,0.375,0.3351,0.2454,0.3355,0.0,0.0,reg oper account,block of flats,0.2592,Panel,No,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
259247,400028,0,Cash loans,F,Y,Y,1,193500.0,540000.0,20925.0,540000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.0038179999999999,-10716,-491,-1333.0,-1389,7.0,1,1,0,1,0,0,Sales staff,3.0,2,2,FRIDAY,7,0,0,0,0,0,0,Business Entity Type 3,0.3729205607835413,0.6989178373362346,0.5937175866150576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-485.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
259248,400029,0,Cash loans,F,N,Y,0,157500.0,684000.0,36441.0,684000.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.001417,-16349,-1226,-696.0,-739,,1,1,1,1,1,0,Core staff,1.0,2,2,SATURDAY,10,0,0,0,0,0,0,Self-employed,0.5059250149020709,0.3689989799440522,0.746300213050371,0.1773,0.0779,0.9811,0.7416,0.0556,0.0,0.0345,0.1667,0.2083,0.0526,0.1362,0.0512,0.0386,0.0183,0.1807,0.0808,0.9811,0.7517,0.0561,0.0,0.0345,0.1667,0.2083,0.0538,0.1488,0.0533,0.0389,0.0194,0.179,0.0779,0.9811,0.7451,0.056,0.0,0.0345,0.1667,0.2083,0.0535,0.1385,0.0521,0.0388,0.0187,reg oper account,specific housing,0.0596,"Stone, brick",No,3.0,0.0,3.0,0.0,-474.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0
259249,400030,0,Cash loans,M,Y,N,2,405000.0,1256400.0,36864.0,900000.0,Unaccompanied,Working,Lower secondary,Married,Municipal apartment,0.001276,-12607,-1054,-3894.0,-4507,18.0,1,1,0,1,0,1,Laborers,4.0,2,2,THURSDAY,4,0,0,0,0,0,0,Housing,0.2285373889962652,0.593910145513799,0.1538025863067176,0.2567,0.094,0.9841,0.7824,0.0187,0.0,0.1034,0.1667,0.2083,0.0868,0.2093,0.085,0.0,0.0,0.2616,0.0976,0.9841,0.7909,0.0189,0.0,0.1034,0.1667,0.2083,0.0888,0.2287,0.0886,0.0,0.0,0.2592,0.094,0.9841,0.7853,0.0188,0.0,0.1034,0.1667,0.2083,0.0883,0.2129,0.0865,0.0,0.0,reg oper account,block of flats,0.0771,Panel,No,0.0,0.0,0.0,0.0,-1194.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,7.0
259250,400031,0,Cash loans,F,N,Y,0,85500.0,808650.0,23773.5,675000.0,Children,Pensioner,Secondary / secondary special,Married,House / apartment,0.00702,-20666,365243,-11064.0,-4136,,1,0,0,1,1,0,,2.0,2,2,MONDAY,9,0,0,0,0,0,0,XNA,,0.3343147959259275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,-140.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
259251,400032,0,Cash loans,F,N,N,1,67500.0,364896.0,23319.0,315000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.018801,-12765,-2506,-5354.0,-4515,,1,1,1,1,1,0,Laborers,3.0,2,2,THURSDAY,11,0,0,0,0,0,0,Industry: type 3,0.3307159715203053,0.7876423591317866,0.5064842396679806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2576.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,4.0
